Threshold	FP Rate	TP Rate
0.000000	0.000000	0.000000
0.009999	0.001175	0.000000
0.019997	0.001175	0.000000
0.029996	0.001175	0.000000
0.039995	0.001175	0.000000
0.049994	0.001175	0.000000
0.059992	0.001175	0.000000
0.069991	0.001175	0.000000
0.079990	0.001175	0.000000
0.089988	0.001175	0.000000
0.099987	0.001175	0.000000
0.109986	0.001175	0.000000
0.119984	0.001175	0.000000
0.129983	0.001175	0.000000
0.139982	0.001175	0.000000
0.149981	0.001175	0.000000
0.159979	0.001175	0.000000
0.169978	0.001175	0.000000
0.179977	0.001175	0.000000
0.189975	0.001175	0.000000
0.199974	0.001175	0.000000
0.209973	0.001175	0.000000
0.219971	0.001175	0.000000
0.229970	0.001175	0.000000
0.239969	0.001175	0.000000
0.249968	0.001175	0.000000
0.259966	0.001175	0.000000
0.269965	0.001175	0.000000
0.279964	0.001175	0.000000
0.289962	0.001175	0.000000
0.299961	0.001175	0.000000
0.309960	0.001175	0.000000
0.319958	0.001175	0.000000
0.329957	0.001175	0.000000
0.339956	0.001175	0.000000
0.349955	0.001175	0.000000
0.359953	0.001175	0.000000
0.369952	0.001175	0.000000
0.379951	0.003525	0.000000
0.389949	0.003525	0.000000
0.399948	0.003525	0.000000
0.409947	0.003525	0.000000
0.419945	0.003525	0.000000
0.429944	0.004700	0.000000
0.439943	0.004700	0.000000
0.449942	0.004700	0.000000
0.459940	0.004700	0.000000
0.469939	0.004700	0.000000
0.479938	0.004700	0.000000
0.489936	0.004700	0.021277
0.499935	0.005875	0.021277
0.509934	0.007051	0.021277
0.519932	0.007051	0.021277
0.529931	0.007051	0.021277
0.539930	0.009401	0.021277
0.549929	0.009401	0.042553
0.559927	0.009401	0.063830
0.569926	0.010576	0.063830
0.579925	0.014101	0.106383
0.589923	0.015276	0.106383
0.599922	0.016451	0.106383
0.609921	0.021152	0.106383
0.619919	0.025852	0.106383
0.629918	0.029377	0.106383
0.639917	0.029377	0.106383
0.649916	0.034078	0.148936
0.659914	0.036428	0.148936
0.669913	0.049354	0.148936
0.679912	0.055229	0.148936
0.689910	0.061105	0.148936
0.699909	0.062280	0.148936
0.709908	0.064630	0.191489
0.719906	0.070505	0.212766
0.729905	0.076381	0.212766
0.739904	0.086957	0.234043
0.749903	0.096357	0.255319
0.759901	0.108108	0.255319
0.769900	0.128085	0.255319
0.779899	0.136310	0.276596
0.789897	0.148061	0.319149
0.799896	0.158637	0.319149
0.809895	0.177438	0.319149
0.819893	0.191539	0.340426
0.829892	0.211516	0.404255
0.839891	0.240893	0.404255
0.849890	0.274971	0.425532
0.859888	0.304348	0.468085
0.869887	0.336075	0.489362
0.879886	0.366627	0.531915
0.889884	0.392479	0.531915
0.899883	0.433608	0.574468
0.909882	0.466510	0.702128
0.919880	0.507638	0.744681
0.929879	0.552291	0.765957
0.939878	0.598120	0.808511
0.949877	0.646298	0.872340
0.959875	0.708578	0.893617
0.969874	0.777908	0.893617
0.979873	0.840188	0.936170
0.989871	0.908343	0.978723
0.999870	0.988249	1.000000
1.009869	0.989424	1.000000
