Threshold	FP Rate	TP Rate
0.000000	0.000000	0.000000
0.073525	0.011751	0.000000
0.147050	0.011751	0.000000
0.220575	0.012926	0.000000
0.294100	0.018801	0.000000
0.367625	0.024677	0.000000
0.441150	0.030552	0.000000
0.514675	0.037603	0.000000
0.588200	0.043478	0.000000
0.661725	0.047004	0.000000
0.735250	0.048179	0.000000
0.808775	0.049354	0.000000
0.882300	0.050529	0.000000
0.955825	0.051704	0.000000
1.029350	0.058754	0.000000
1.102875	0.062280	0.000000
1.176400	0.069330	0.000000
1.249925	0.075206	0.000000
1.323450	0.077556	0.000000
1.396975	0.081081	0.021277
1.470500	0.090482	0.021277
1.544025	0.099882	0.021277
1.617550	0.110458	0.042553
1.691075	0.122209	0.063830
1.764599	0.132785	0.085106
1.838124	0.150411	0.148936
1.911649	0.171563	0.148936
1.985174	0.189189	0.191489
2.058699	0.205640	0.212766
2.132224	0.218566	0.255319
2.205749	0.244418	0.255319
2.279274	0.266745	0.276596
2.352799	0.291422	0.297872
2.426324	0.311398	0.297872
2.499849	0.326675	0.340426
2.573374	0.353702	0.340426
2.646899	0.366627	0.404255
2.720424	0.385429	0.468085
2.793949	0.404230	0.510638
2.867474	0.415981	0.510638
2.940999	0.432432	0.531915
3.014524	0.450059	0.574468
3.088049	0.467685	0.574468
3.161574	0.484136	0.595745
3.235099	0.515864	0.595745
3.308624	0.538190	0.617021
3.382149	0.559342	0.638298
3.455674	0.582844	0.638298
3.529199	0.609871	0.638298
3.602724	0.627497	0.659574
3.676249	0.648649	0.659574
3.749774	0.659224	0.680851
3.823299	0.673325	0.702128
3.896824	0.690952	0.723404
3.970349	0.706228	0.765957
4.043874	0.719154	0.765957
4.117399	0.734430	0.765957
4.190924	0.749706	0.829787
4.264449	0.766157	0.829787
4.337974	0.779083	0.829787
4.411499	0.788484	0.829787
4.485024	0.801410	0.829787
4.558549	0.821387	0.829787
4.632074	0.836663	0.851064
4.705599	0.848414	0.851064
4.779124	0.862515	0.872340
4.852649	0.869565	0.893617
4.926174	0.877791	0.893617
4.999699	0.889542	0.936170
5.073224	0.901293	0.957447
5.146749	0.910693	0.957447
5.220273	0.917744	0.957447
5.293798	0.922444	0.957447
5.367323	0.931845	0.957447
5.440848	0.936545	0.957447
5.514373	0.941246	0.957447
5.587898	0.945946	0.957447
5.661423	0.948296	0.957447
5.734948	0.955347	0.957447
5.808473	0.968273	0.978723
5.881998	0.972973	0.978723
5.955523	0.974148	0.978723
6.029048	0.977673	0.978723
6.102573	0.978848	0.978723
6.176098	0.980024	0.978723
6.249623	0.984724	0.978723
6.323148	0.985899	0.978723
6.396673	0.985899	0.978723
6.470198	0.989424	0.978723
6.543723	0.991774	0.978723
6.617248	0.992949	0.978723
6.690773	0.992949	1.000000
6.764298	0.994125	1.000000
6.837823	0.995300	1.000000
6.911348	0.995300	1.000000
6.984873	0.996475	1.000000
7.058398	0.997650	1.000000
7.131923	0.997650	1.000000
7.205448	0.997650	1.000000
7.278973	0.997650	1.000000
7.352498	0.998825	1.000000
7.426023	1.000000	1.000000
